t[i]   y[i]
-2.000  0.000
-1.900  0.000
-1.800  0.000
-1.700  0.000
-1.600  0.000
-1.500  0.000
-1.400  0.000
-1.300  0.000
-1.200  0.000
-1.100  0.000
-1.000  0.000
-0.900  0.100
-0.800  0.200
-0.700  0.300
-0.600  0.400
-0.500  0.500
-0.400  0.600
-0.300  0.700
-0.200  0.800
-0.100  0.900
0.000  1.000
0.100  0.900
0.200  0.800
0.300  0.700
0.400  0.600
0.500  0.500
0.600  0.400
0.700  0.300
0.800  0.200
0.900  0.100
1.000  0.000
1.100  0.000
1.200  0.000
1.300  0.000
1.400  0.000
1.500  0.000
1.600  0.000
1.700  0.000
1.800  0.000
1.900  0.000
2.000  0.000
